Year,single_detached,semi_detached,rowhouse,apartment,total
2002,142,0,0,0,142
2003,93,0,5,0,98
2004,135,2,12,0,149
2005,82,0,14,0,96
2006,118,0,0,4,122
2007,129,0,3,6,138
2008,120,0,20,3,143
2009,78,0,0,0,78
2010,69,0,0,0,69
2011,46,2,0,0,48
2012,57,2,9,0,68
2013,61,4,3,0,68
2014,70,6,0,0,76
2015,63,6,3,0,72
2016,96,0,6,3,105
2017,105,10,13,0,128
2018,126,16,9,1,152
